Timestamp,Total Unit,Beban SMP
2026-06-24 09:18:43,6,4.0
2026-06-24 09:18:48,6,4.5
2026-06-24 09:18:53,5,4.0
2026-06-24 09:18:58,6,4.5
2026-06-24 09:19:03,11,7.0
2026-06-24 09:19:08,15,10.5
2026-06-24 09:19:13,6,8.5
2026-06-24 09:19:18,8,7.5
2026-06-24 09:19:24,14,11.0
2026-06-24 09:19:29,6,6.0
2026-06-24 09:19:34,13,14.0
2026-06-24 09:19:39,10,10.0
2026-06-24 09:19:44,14,13.5
2026-06-24 09:19:49,9,8.5
2026-06-24 09:19:54,9,8.0
2026-06-24 09:19:59,7,6.5
2026-06-24 09:20:04,21,17.0
2026-06-24 09:20:09,15,13.0
2026-06-24 09:20:14,16,12.0
2026-06-24 09:20:20,12,9.5
2026-06-24 09:20:25,13,10.5
2026-06-24 09:30:22,11,12.0
2026-06-24 09:30:27,11,11.0
2026-06-24 09:30:33,11,11.0
2026-06-24 09:30:38,11,12.5
2026-06-24 13:18:08,24,23.0
2026-06-24 13:18:13,21,19.5
2026-06-24 13:18:18,26,21.0
2026-06-24 13:18:23,23,17.5
2026-06-24 13:18:28,12,10.5
2026-06-24 13:18:33,18,19.0
2026-06-24 13:41:37,16,12.0
2026-06-24 13:41:42,6,4.5
2026-06-24 13:41:47,9,8.5
2026-06-24 13:41:53,10,12.0
2026-06-24 13:44:46,19,13.0
2026-06-24 13:44:51,15,12.5
2026-06-24 13:45:04,21,17.5
2026-06-24 13:45:09,15,15.5
2026-06-24 13:45:14,24,19.5
2026-06-24 13:45:19,18,15.0
2026-06-24 13:45:24,18,17.5
2026-06-24 13:45:31,28,25.5
2026-06-24 13:45:36,22,23.0
2026-06-24 13:45:41,23,21.5
2026-06-24 13:45:46,24,25.0
2026-06-24 13:45:51,20,18.0
2026-06-24 13:45:56,14,16.0
2026-06-24 13:46:01,14,18.5
2026-06-24 13:46:06,13,16.0
2026-06-24 13:46:12,10,11.5
2026-06-24 13:46:18,4,4.0
2026-06-24 13:46:23,8,7.5
2026-06-24 13:46:28,10,8.0
2026-06-24 13:46:33,6,6.0
2026-06-24 13:46:38,12,10.0
2026-06-24 13:46:44,14,11.5
2026-06-24 13:46:49,11,10.0
2026-06-24 13:46:54,9,7.5
2026-06-24 13:46:59,8,6.5
2026-06-24 13:47:04,11,9.0
2026-06-24 13:47:10,9,8.0
2026-06-24 13:47:15,9,9.0
2026-06-24 13:47:20,19,16.5
2026-06-24 13:47:25,18,17.0
2026-06-24 13:47:30,13,12.5
2026-06-24 13:47:35,9,8.0
2026-06-24 13:47:40,11,11.0
2026-06-24 13:47:45,9,8.5
2026-06-24 13:47:51,7,7.0
2026-06-24 13:47:56,11,8.0
2026-06-24 13:48:01,12,10.5
2026-06-24 13:48:06,14,11.0
2026-06-24 13:48:11,15,11.0
2026-06-24 13:50:45,22,18.5
2026-06-24 13:50:50,26,19.5
2026-06-24 13:50:55,20,17.0
2026-06-24 13:51:00,18,15.5
2026-06-24 13:51:05,17,14.0
2026-06-24 13:51:45,14,10.0
2026-06-24 13:51:51,12,10.0
2026-06-24 13:51:56,19,18.5
2026-06-24 13:52:01,17,16.5
2026-06-24 13:52:06,13,12.0
2026-06-24 13:52:11,11,11.0
2026-06-24 13:52:16,14,13.5
2026-06-24 13:52:21,10,8.5
2026-06-24 13:52:26,17,12.5
2026-06-24 13:52:31,11,9.5
2026-06-24 13:52:36,7,4.5
2026-06-24 13:52:41,8,7.0
2026-06-24 13:52:46,14,13.0
2026-06-24 13:52:51,12,9.5
2026-06-24 13:52:56,16,16.0
2026-06-24 13:53:01,19,16.0
2026-06-24 13:53:07,26,19.5
2026-06-24 13:57:55,12,12.0
2026-06-24 13:58:00,11,10.0
2026-06-24 13:58:05,13,11.0
2026-06-24 13:58:10,7,7.0
2026-06-24 13:58:15,6,6.0
2026-06-24 13:58:20,5,5.0
2026-06-24 13:58:25,5,6.5
2026-06-24 13:58:30,10,9.5
2026-06-24 13:58:36,9,9.0
2026-06-24 13:58:41,7,5.5
2026-06-24 13:58:46,4,3.0
2026-06-24 13:58:51,5,6.0
2026-06-24 13:58:56,3,2.5
2026-06-24 13:59:01,12,9.5
2026-06-24 13:59:06,15,16.0
2026-06-24 13:59:11,14,15.0
2026-06-24 13:59:16,12,12.5
2026-06-24 17:18:42,13,9.5
2026-06-24 17:19:12,3,2.0
2026-06-24 17:21:35,20,18.0
2026-06-24 17:22:05,32,28.0
2026-06-24 17:22:35,29,31.5
2026-06-24 17:23:06,16,18.0
2026-06-24 17:50:28,1,0.5
2026-06-24 17:51:00,14,12.0
2026-06-24 17:51:30,14,14.0
2026-06-24 17:53:13,19,19.0
2026-06-24 17:55:51,20,19.0
