Timestamp,Total Unit,Beban SMP
2026-06-24 09:31:47,6,3.0
2026-06-24 09:31:52,2,3.5
2026-06-24 09:31:58,6,6.5
2026-06-24 09:32:03,7,9.5
2026-06-24 09:32:08,4,3.5
2026-06-24 09:32:13,6,4.5
2026-06-24 09:32:18,9,10.0
2026-06-24 13:43:10,4,6.5
2026-06-24 13:43:15,8,11.5
2026-06-24 13:43:20,21,15.0
2026-06-24 13:43:25,14,11.0
2026-06-24 13:43:30,16,12.5
2026-06-24 13:43:35,24,16.5
2026-06-24 13:43:40,19,15.0
2026-06-24 13:43:45,16,11.0
2026-06-24 13:43:50,13,11.0
2026-06-24 14:01:00,8,4.5
2026-06-24 14:01:05,13,7.0
2026-06-24 14:01:11,8,5.0
2026-06-24 14:01:16,4,3.0
2026-06-24 14:01:21,3,2.0
2026-06-24 14:01:26,8,6.5
2026-06-24 14:01:31,10,7.5
2026-06-24 14:01:36,9,9.5
2026-06-24 14:01:41,8,7.5
2026-06-24 14:01:46,10,14.5
2026-06-24 14:01:51,8,11.0
2026-06-24 14:01:56,12,14.5
2026-06-24 14:02:01,13,13.0
2026-06-24 14:02:07,12,15.0
2026-06-24 14:02:12,14,13.5
2026-06-24 14:02:17,10,11.5
2026-06-24 14:02:22,15,13.0
2026-06-24 14:02:27,11,11.0
2026-06-24 14:02:32,5,7.0
2026-06-24 14:02:37,5,7.5
2026-06-24 14:02:42,3,6.0
2026-06-24 14:02:47,8,14.0
2026-06-24 14:02:53,5,9.5
2026-06-24 14:02:58,4,7.0
2026-06-24 14:03:03,9,12.5
2026-06-24 14:03:08,8,13.5
2026-06-24 14:03:13,6,9.5
2026-06-24 14:03:18,8,8.0
2026-06-24 14:03:23,12,9.5
2026-06-24 14:03:28,10,8.0
2026-06-24 14:03:41,9,11.0
2026-06-24 14:03:46,7,7.0
2026-06-24 14:03:51,16,13.5
2026-06-24 14:03:57,17,15.0
2026-06-24 14:04:02,20,18.5
2026-06-24 14:04:07,17,16.5
2026-06-24 14:04:12,15,15.0
2026-06-24 14:04:17,21,23.5
2026-06-24 14:04:22,13,13.0
2026-06-24 14:04:27,19,18.0
2026-06-24 14:04:32,14,11.0
2026-06-24 14:04:37,15,12.0
2026-06-24 14:04:51,12,9.5
2026-06-24 14:04:56,12,13.0
2026-06-24 14:05:01,10,8.5
2026-06-24 14:05:07,14,14.5
2026-06-24 14:05:12,10,9.0
2026-06-24 14:05:17,11,9.0
2026-06-24 14:05:22,10,9.0
2026-06-24 14:05:27,7,9.5
2026-06-24 14:05:32,8,8.5
2026-06-24 14:05:38,7,8.5
2026-06-24 14:05:43,5,2.5
2026-06-24 14:05:49,3,2.5
2026-06-24 14:05:54,5,8.0
2026-06-24 14:05:59,6,7.0
2026-06-24 14:06:04,9,14.5
2026-06-24 14:06:09,14,16.0
2026-06-24 14:06:14,7,9.0
2026-06-24 14:06:19,8,9.0
2026-06-24 14:06:25,2,5.0
2026-06-24 14:06:30,10,7.5
2026-06-24 14:06:35,6,6.0
2026-06-24 14:06:40,5,5.0
2026-06-24 14:06:45,9,8.0
2026-06-24 14:06:50,5,5.0
2026-06-24 14:06:55,8,9.5
2026-06-24 14:07:01,9,10.5
2026-06-24 14:07:06,9,12.0
2026-06-24 14:07:12,9,12.0
2026-06-24 14:07:17,4,3.0
2026-06-24 14:07:22,14,17.0
2026-06-24 14:07:27,4,7.0
2026-06-24 14:07:32,2,3.5
2026-06-24 14:07:37,13,11.5
2026-06-24 14:07:42,8,7.5
2026-06-24 14:07:47,14,11.5
2026-06-24 14:07:53,13,13.5
2026-06-24 14:07:58,20,17.0
2026-06-24 14:08:03,9,10.0
2026-06-24 14:08:08,7,9.0
2026-06-24 14:08:13,9,6.0
2026-06-24 14:08:18,10,8.0
2026-06-24 14:08:23,10,12.0
2026-06-24 14:08:28,5,6.5
2026-06-24 14:08:33,2,3.5
2026-06-24 17:24:44,8,5.5
2026-06-24 17:25:14,17,11.5
2026-06-24 17:25:45,21,14.0
