Timestamp,Total Unit,Beban SMP
2026-06-23 12:25:30,34,28.0
2026-06-23 12:25:35,36,28.0
2026-06-23 12:25:40,29,20.0
2026-06-23 12:25:45,39,23.5
2026-06-23 12:25:50,30,22.5
2026-06-23 12:25:55,30,21.5
2026-06-23 12:26:00,36,23.5
2026-06-23 12:26:06,33,23.5
2026-06-23 12:26:11,38,28.5
2026-06-23 12:26:16,36,24.5
2026-06-23 12:26:23,33,24.0
2026-06-23 12:26:28,30,23.5
2026-06-23 12:26:33,31,22.0
2026-06-23 12:26:47,9,8.0
2026-06-23 12:26:52,14,14.0
2026-06-23 12:26:57,13,11.0
2026-06-23 12:27:02,9,8.0
2026-06-23 12:27:08,7,6.0
2026-06-23 12:27:13,12,9.0
2026-06-23 12:27:18,13,14.0
2026-06-23 12:27:23,13,17.5
2026-06-23 12:27:28,8,8.5
2026-06-23 12:27:33,8,7.5
2026-06-23 12:27:38,14,16.0
2026-06-23 12:27:44,4,3.5
2026-06-23 12:27:49,6,7.5
2026-06-23 12:27:54,3,4.5
2026-06-23 12:27:59,16,14.5
2026-06-23 12:28:04,20,17.5
2026-06-23 12:29:50,26,18.0
2026-06-23 12:29:55,27,20.0
2026-06-23 12:30:00,18,15.0
2026-06-23 12:30:05,20,15.5
2026-06-23 12:30:10,18,15.0
2026-06-23 12:30:15,16,12.5
2026-06-23 12:30:21,10,7.5
2026-06-23 12:30:26,15,11.5
2026-06-23 12:30:31,18,13.0
2026-06-23 12:30:36,11,9.5
2026-06-23 13:16:46,0,0.0
2026-06-23 13:16:52,0,0.0
2026-06-23 13:16:57,0,0.0
2026-06-23 13:25:21,17,15.0
2026-06-23 13:31:06,4,2.5
2026-06-23 13:31:11,12,11.0
2026-06-23 13:31:16,16,12.5
2026-06-23 13:31:21,9,7.5
2026-06-23 13:36:28,16,15.5
2026-06-23 13:36:33,15,16.0
2026-06-23 13:36:38,26,24.0
2026-06-23 13:36:43,17,14.5
2026-06-23 13:36:48,20,19.0
2026-06-23 13:36:54,17,15.0
2026-06-23 13:51:12,11,8.5
2026-06-23 13:51:17,10,8.5
2026-06-23 13:51:22,13,10.5
2026-06-23 13:51:27,13,11.0
2026-06-23 13:51:32,9,7.0
2026-06-23 13:51:38,11,10.0
2026-06-23 13:51:43,13,14.5
2026-06-23 13:51:48,13,12.0
2026-06-23 13:51:53,13,13.0
2026-06-23 13:51:58,10,9.0
2026-06-23 13:52:03,13,10.0
2026-06-23 13:52:08,11,12.5
2026-06-23 13:52:14,9,11.5
2026-06-23 13:52:19,15,14.0
2026-06-23 13:52:24,9,9.0
2026-06-23 14:58:24,36,22.5
2026-06-23 15:03:04,8,8.0
2026-06-23 15:03:09,6,6.0
2026-06-23 15:04:11,5,3.5
2026-06-23 15:04:16,3,3.0
2026-06-23 15:19:09,18,14.5
2026-06-23 15:31:07,6,6.0
2026-06-23 15:31:12,8,8.0
2026-06-23 15:31:17,6,7.5
2026-06-23 15:31:22,10,9.5
2026-06-23 15:31:27,5,4.5
2026-06-23 15:31:32,3,2.5
2026-06-23 15:31:37,5,6.0
2026-06-23 15:33:46,13,9.0
2026-06-23 15:33:51,15,11.0
2026-06-23 15:33:56,19,12.5
2026-06-23 15:34:01,22,14.5
2026-06-23 15:34:06,15,10.0
2026-06-23 15:34:11,19,14.0
2026-06-23 15:34:16,15,10.5
2026-06-23 15:37:39,7,6.0
2026-06-23 15:37:44,4,3.5
2026-06-23 15:37:49,6,6.0
2026-06-23 15:37:54,15,13.0
2026-06-23 15:37:59,18,13.0
2026-06-23 15:38:04,13,8.5
2026-06-23 15:38:09,23,14.5
2026-06-23 15:38:14,28,20.0
2026-06-23 15:38:20,20,14.0
2026-06-23 15:38:25,24,16.0
2026-06-23 15:38:30,20,14.5
2026-06-23 15:38:35,29,23.5
2026-06-23 15:39:14,7,5.5
2026-06-23 15:40:13,23,17.5
2026-06-23 15:40:18,24,18.0
2026-06-23 15:40:23,21,20.5
2026-06-23 15:40:28,21,23.0
2026-06-23 15:40:33,20,22.0
2026-06-23 15:40:38,24,22.0
2026-06-23 15:40:43,31,28.5
2026-06-23 15:40:48,18,18.0
2026-06-23 15:40:53,21,21.5
2026-06-23 15:40:58,12,12.0
2026-06-23 15:42:11,12,11.0
2026-06-23 15:42:16,20,17.0
2026-06-23 15:42:21,18,17.0
2026-06-23 15:42:26,21,18.0
2026-06-23 15:42:31,20,20.0
2026-06-23 15:42:36,25,22.5
2026-06-23 15:42:43,27,24.5
2026-06-23 15:42:48,20,17.5
2026-06-23 15:42:53,15,11.5
2026-06-23 15:42:58,15,15.0
2026-06-23 15:43:12,6,5.5
2026-06-23 15:43:17,7,7.5
2026-06-23 15:43:22,6,5.5
2026-06-23 15:43:27,9,5.5
2026-06-23 15:44:10,9,7.0
