Timestamp,Total Unit,Beban SMP
2026-06-24 09:22:57,35,30.0
2026-06-24 09:23:03,37,31.0
2026-06-24 09:23:08,31,27.5
2026-06-24 09:23:13,27,25.5
2026-06-24 09:23:20,20,26.0
2026-06-24 09:23:25,20,29.0
2026-06-24 09:23:32,24,29.5
2026-06-24 09:23:37,21,25.5
2026-06-24 09:23:42,25,28.5
2026-06-24 09:23:47,23,27.0
2026-06-24 09:23:52,23,27.5
2026-06-24 09:23:57,22,25.0
2026-06-24 09:24:02,21,22.5
2026-06-24 09:24:07,31,37.0
2026-06-24 09:24:12,26,29.0
2026-06-24 09:24:18,29,36.5
2026-06-24 09:24:23,30,37.5
2026-06-24 09:24:28,31,34.5
2026-06-24 09:24:33,24,29.5
2026-06-24 09:24:38,25,34.0
2026-06-24 09:24:43,23,27.5
2026-06-24 09:24:50,24,28.0
2026-06-24 09:24:55,21,24.0
2026-06-24 09:25:00,27,36.0
2026-06-24 09:25:05,29,30.5
2026-06-24 09:25:11,26,32.0
2026-06-24 09:25:16,27,30.0
2026-06-24 09:25:21,29,35.0
2026-06-24 09:25:26,26,32.0
2026-06-24 09:25:31,22,25.0
2026-06-24 09:25:37,27,31.5
2026-06-24 09:25:42,26,33.5
2026-06-24 09:25:47,29,35.0
2026-06-24 09:25:52,24,27.0
2026-06-24 09:26:45,24,28.0
2026-06-24 09:26:50,21,24.0
2026-06-24 09:26:55,24,30.0
2026-06-24 09:27:00,23,24.5
2026-06-24 09:28:14,50,60.5
2026-06-24 09:28:19,44,50.0
2026-06-24 09:28:24,54,66.0
2026-06-24 09:28:29,23,30.5
2026-06-24 09:28:35,24,28.0
2026-06-24 09:28:40,25,28.5
2026-06-24 09:28:59,20,26.0
2026-06-24 09:29:04,20,29.0
2026-06-24 09:29:10,35,30.0
2026-06-24 09:29:16,37,31.0
2026-06-24 09:29:21,30,27.0
2026-06-24 09:29:26,29,28.5
2026-06-24 09:29:31,32,29.5
2026-06-24 09:29:36,39,34.5
2026-06-24 09:29:41,36,30.5
2026-06-24 09:29:46,44,35.5
2026-06-24 09:29:51,35,29.5
2026-06-24 09:34:01,24,28.0
2026-06-24 09:34:06,20,23.0
2026-06-24 09:34:12,25,29.5
2026-06-24 09:34:17,25,28.0
2026-06-24 09:34:22,23,26.0
2026-06-24 09:34:27,22,25.0
2026-06-24 09:34:32,24,31.5
2026-06-24 09:34:37,24,25.5
2026-06-24 13:44:04,24,29.5
2026-06-24 13:44:09,21,25.5
2026-06-24 13:44:14,24,28.0
2026-06-24 13:44:19,26,31.0
2026-06-24 13:44:25,35,30.0
2026-06-24 13:44:30,37,31.0
2026-06-24 14:09:36,35,30.0
2026-06-24 14:09:41,37,31.0
2026-06-24 14:09:47,24,29.5
2026-06-24 14:09:52,24,29.5
2026-06-24 14:09:58,23,29.0
2026-06-24 14:10:03,27,30.5
2026-06-24 14:10:08,27,33.0
2026-06-24 14:10:13,29,32.0
2026-06-24 14:10:18,20,23.0
2026-06-24 14:10:23,24,29.5
2026-06-24 14:10:28,21,28.5
